retry,phy,mcs,bandwidth,short_gi,data_rate,data_size,rssi,frequency,timestamp,throughput,rate_gap
False,8,6,0,False,117.0,704,-47,5180,0.0,117.0,2
False,8,6,0,False,117.0,608,-48,5180,0.512834,117.0,2
False,8,6,0,False,117.0,544,0,5180,0.5189549999999999,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.518976,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.518995,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.519011,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.519025,117.0,2
False,8,6,0,False,117.0,12128,-52,5180,0.519043,117.0,2
False,8,6,0,False,117.0,12128,-52,5180,0.519058,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.519073,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.5190939999999999,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.51911,117.0,2
False,8,6,0,False,117.0,12128,-48,5180,0.519125,117.0,2
False,8,6,0,False,117.0,12128,-51,5180,0.528788,117.0,2
False,8,6,0,False,117.0,12128,-56,5180,0.528802,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.528816,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.5288619999999999,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.528878,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.530027,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.530049,117.0,2
False,8,6,0,False,117.0,12128,-56,5180,0.530067,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.530084,117.0,2
False,8,6,0,False,117.0,12128,-51,5180,0.530099,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.530112,117.0,2
False,8,6,0,False,117.0,12128,-55,5180,0.530127,117.0,2
False,8,6,0,False,117.0,12128,-48,5180,0.530142,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.530173,117.0,2
False,8,6,0,False,117.0,12128,-52,5180,0.530189,117.0,2
False,8,6,0,False,117.0,12128,-55,5180,0.530204,117.0,2
False,8,6,0,False,117.0,12128,-51,5180,0.530219,117.0,2
False,8,6,0,False,117.0,12128,-50,5180,0.530233,117.0,2
False,8,6,0,False,117.0,12128,-52,5180,0.5302479999999999,117.0,2
False,8,6,0,False,117.0,12128,-48,5180,0.530261,117.0,2
False,8,6,0,False,117.0,544,-48,5180,0.531362,117.0,2
False,8,6,0,False,117.0,12128,-50,5180,0.53263,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.532643,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.53265,117.0,2
False,8,6,0,False,117.0,12128,-51,5180,0.532658,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.532666,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.532676,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.532685,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.532693,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.532701,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.532712,117.0,2
False,8,6,0,False,117.0,12128,-50,5180,0.532721,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.532729,117.0,2
False,8,6,0,False,117.0,12128,-55,5180,0.53361,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.533622,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.53363,117.0,2
False,8,6,0,False,117.0,12128,-49,5180,0.533643,117.0,2
False,8,6,0,False,117.0,12128,-57,5180,0.533671,117.0,2
False,8,6,0,False,117.0,12128,-54,5180,0.535851,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.535869,117.0,2
False,8,6,0,False,117.0,12128,-48,5180,0.535884,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.536162,117.0,2
False,8,6,0,False,117.0,12128,-56,5180,0.536175,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.536188,117.0,2
False,8,6,0,False,117.0,12128,-56,5180,0.536203,117.0,2
False,8,6,0,False,117.0,12128,-48,5180,0.5362169999999999,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.536231,117.0,2
False,8,6,0,False,117.0,12128,-53,5180,0.5362439999999999,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.536258,117.0,2
False,8,6,0,False,117.0,12128,0,5180,0.5362709999999999,117.0,2
