retry,phy,mcs,bandwidth,short_gi,data_rate,data_size,rssi,frequency,timestamp,throughput,rate_gap
False,8,8,0,True,173.333,608,-50,5180,0.0,173.333,0
False,8,8,0,True,173.333,544,-48,5180,0.004712999999999967,173.333,0
False,8,8,0,True,173.333,12128,-48,5180,0.0047279999999999545,173.333,0
False,8,8,0,True,173.333,12128,-49,5180,0.004742999999999942,173.333,0
False,8,8,0,True,173.333,12128,-49,5180,0.004758999999999958,173.333,0
False,8,8,0,True,173.333,12128,-47,5180,0.0047719999999999985,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.004785999999999957,173.333,0
False,8,8,0,True,173.333,12128,-48,5180,0.004801999999999973,173.333,0
False,8,8,0,True,173.333,12128,-50,5180,0.0048159999999999314,173.333,0
False,8,8,0,True,173.333,12128,-48,5180,0.004830000000000001,173.333,0
False,8,8,0,True,173.333,12128,-49,5180,0.004846000000000017,173.333,0
False,8,8,0,True,173.333,12128,-50,5180,0.004861000000000004,173.333,0
False,8,8,0,True,173.333,12128,-51,5180,0.01056799999999991,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.01058199999999998,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.01059499999999991,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.01060799999999995,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.01062200000000002,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.01063499999999995,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.010646999999999962,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.01066099999999992,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.010673999999999961,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.010685999999999973,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.013395999999999963,173.333,0
False,8,8,0,True,173.333,12128,-51,5180,0.01341799999999993,173.333,0
False,8,8,0,True,173.333,12128,-50,5180,0.013428999999999913,173.333,0
False,8,8,0,True,173.333,12128,-51,5180,0.013445999999999958,173.333,0
False,8,8,0,True,173.333,12128,-52,5180,0.013454999999999995,173.333,0
False,8,8,0,True,173.333,12128,-50,5180,0.01346499999999995,173.333,0
False,8,8,0,True,173.333,12128,-50,5180,0.013482999999999912,173.333,0
False,8,8,0,True,173.333,12128,-51,5180,0.013491999999999948,173.333,0
False,8,8,0,True,173.333,12128,-54,5180,0.016071999999999975,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.01608299999999996,173.333,0
False,8,8,0,True,173.333,544,-50,5180,0.016089999999999938,173.333,0
False,8,8,0,True,173.333,12128,-53,5180,0.017793999999999977,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.017803000000000013,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.01781199999999994,173.333,0
False,8,8,0,True,173.333,12128,-54,5180,0.017819999999999947,173.333,0
False,8,8,0,True,173.333,12128,0,5180,0.017828999999999984,173.333,0
