Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,16.71
INTERVAL,2.0,4.0,79.27
INTERVAL,4.0,6.0,100.41
INTERVAL,6.0,8.0,112.37
INTERVAL,8.0,10.0,115.27
INTERVAL,10.0,12.0,109.23
INTERVAL,12.0,14.0,115.39
INTERVAL,14.0,16.0,128.67
INTERVAL,16.0,18.0,136.47
INTERVAL,18.0,20.0,120.42
INTERVAL,20.0,22.0,137.69
INTERVAL,22.0,24.0,109.17
INTERVAL,24.0,26.0,126.68
INTERVAL,26.0,28.0,135.53
INTERVAL,28.0,30.0,104.66
AGGREGATED,0.0,30.0,109.86
