Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,170.14
INTERVAL,2.0,4.0,184.93
INTERVAL,4.0,6.0,97.47
INTERVAL,6.0,8.0,101.54
INTERVAL,8.0,10.0,130.12
INTERVAL,10.0,12.0,133.27
INTERVAL,12.0,14.0,140.36
INTERVAL,14.0,16.0,124.19
INTERVAL,16.0,18.0,145.74
INTERVAL,18.0,20.0,171.34
INTERVAL,20.0,22.0,132.15
INTERVAL,22.0,24.0,91.77
INTERVAL,24.0,26.0,104.79
INTERVAL,26.0,28.0,166.52
INTERVAL,28.0,30.0,142.65
AGGREGATED,0.0,30.0,135.80
