time_bin,mean_throughput,mean_data_rate,most_common_rssi,retry_percentage,mean_rate_gap,useful_airtime,revised_throughput
0,142.8543936599475,144.34268069925471,-36,1.5344147303814117,0.0051512494519947395,0.7665838401998426,55.32538323758719
2,141.49432358042307,143.70798343949045,-41,3.1847133757961785,0.03821656050955414,0.013294193782561125,0.9552408899728355
4,141.69686885483927,143.94345891089108,-40,3.4653465346534658,0.0297029702970297,0.016965023162201633,1.221002057235343
6,130.34997649357314,132.4732609589041,-40,2.054794520547945,0.726027397260274,0.013443430160850759,0.8904475159405923
8,120.98900718966053,122.97941686046511,-40,4.651162790697675,1.308139534883721,0.017430611406841445,1.071803213167366
10,118.41248742647693,120.4342609271523,-40,3.9735099337748347,1.4701986754966887,0.015605448422293354,0.9397153235878475
12,133.80277774276905,136.12046043165466,-40,5.755395683453238,0.302158273381295,0.012350992379195487,0.8406113847219738
14,135.90683829106587,138.3252256944444,-40,0.6944444444444444,0.3125,0.012854690722838154,0.8890639977344342
16,140.29065215210684,142.81647042253522,-40,5.633802816901409,0.08450704225352113,0.012067604424251045,0.8617263351634522
18,139.41586156236843,141.93920751445086,-40,0.0,0.12138728323699421,0.014855943284134487,1.0543204083148388
20,139.59567436541792,142.10167702702702,-39,2.2522522522522523,0.12162162162162163,0.019143636082337552,1.3601713958476358
22,141.28802061791515,143.84215312499998,-40,2.083333333333333,0.03125,0.016232910517074154,1.1674884001307015
24,140.9230865220316,143.46472372881357,-40,0.847457627118644,0.05084745762711865,0.010019623706960891,0.7187312734929076
26,135.74529720985697,138.25356785714285,-40,4.017857142857143,0.29464285714285715,0.020029816510918824,1.384596798079218
28,128.95318084518127,131.4203767955801,-40,11.049723756906078,0.7955801104972375,0.017020157933907654,1.118397784397213
