time_bin,mean_throughput,mean_data_rate,most_common_rssi,retry_percentage,mean_rate_gap,useful_airtime,revised_throughput
0,147.00347332514153,160.11644162251997,-49,5.791004466604342,0.45512620754129013,1.4701298390428823,117.69597927531717
2,157.94970425516178,165.4382084572328,-49,1.989679902046528,0.21991429071191185,1.6857506117398955,139.44378055596627
4,167.01292478721876,173.07506301843318,-49,1.543778801843318,0.00944700460829493,0.6081191186609229,52.62512739247664
6,166.83669142417085,172.5944106483922,-49,2.530311017395888,0.032156035846072746,0.13336255458539403,11.508815755615059
8,166.91217418183135,172.65055011013214,-49,3.1938325991189425,0.0236784140969163,0.1274711607753675,11.003983015522149
10,166.74472122531034,172.41366558791802,-50,1.6720604099244876,0.034519956850053934,0.1304787518508862,11.248159943973816
12,167.7087392641253,173.333,-49,2.4339720352149143,0.0,0.13505767511091366,11.704975999999998
14,167.74116541774998,173.333,-50,2.3086269744835968,0.0,0.1150632366600705,9.972128
16,166.9958373525142,172.52182678859603,-49,2.474448628294782,0.0,0.13053871495196662,11.260388785074548
18,167.84086199370984,173.333,-49,2.097535395909806,0.0,0.13331157944534508,11.553647999999999
20,156.78345801431092,161.94017887323943,-50,8.591549295774648,0.4225352112676056,0.107792974748233,8.728006806003718
22,130.6855962636201,135.2404057217165,-51,8.777633289986996,1.5221066319895968,0.1395820532274746,9.438566754976948
24,133.76566714197472,138.60917963224892,-51,9.688826025459688,1.3062234794908063,0.12430816251259472,8.615126213731516
26,139.78628351428506,144.94379434697854,-52,6.530214424951267,0.9766081871345029,0.08588238103020931,6.224059087035755
28,151.01634888054704,156.60419679430098,-52,2.5823686553873553,0.4888691006233304,0.08755927036978443,6.8560746040775635
