time_bin,mean_throughput,mean_data_rate,most_common_rssi,retry_percentage,mean_rate_gap,useful_airtime,revised_throughput
0,109.51068237438749,143.80203561123764,-42,9.03568716780562,0.020754239433054922,0.3319549112948752,23.86789598767544
2,120.43465906752822,132.40704166666666,-40,8.333333333333332,0.5833333333333334,0.002378958744016002,0.1574954447711039
4,112.92144707997096,139.58339056053345,-39,46.84309231089811,0.1700354240466764,0.4447956424188536,31.04304193768711
6,89.27279239998876,129.2172833333333,-42,61.66666666666667,0.4875,0.055236008092995316,3.5687234539774337
8,72.96330194967076,111.13319129342823,-39,46.944328170782754,1.3170782754290498,0.573770354020971,31.882465255955303
10,84.68690028970823,132.43435203574973,-39,31.98857994041708,0.23733862959285004,0.7642956099161489,50.609496931506655
12,85.21131425548519,130.46611955331727,-42,23.407050580249617,0.5009853295379899,0.44099403713478885,28.7673903855637
14,93.15591778674339,138.67025205855444,-42,40.256175663311986,0.20768526989935956,0.09972904462196072,6.9147258776430585
16,81.01000854236432,119.00337987212276,-39,9.18158567774936,0.8439897698209718,0.3997866428860787,23.787980865586352
18,87.9545614134633,124.62362602771904,-39,13.22527601597369,0.41461122856471694,0.4152591969308308,25.875553431439396
20,95.89296298880767,133.20903975535168,-42,0.1529051987767584,0.01529051987767584,0.05966357874843165,3.973864016723194
22,91.81774759884098,127.11095263157894,-46,15.789473684210526,0.7368421052631579,0.0018679209632129902,0.11871660653724984
24,77.47306747561471,107.25,-44,50.0,1.4583333333333333,0.003747241025641026,0.2009458
26,85.96247015633973,118.5527996295534,-39,22.185634904301295,0.8450298415311792,0.5109761447738423,30.2888262534275
28,85.0643940724158,117.06956785137318,-39,38.02504038772213,0.9529483037156704,0.51857372991453,30.35460123008437
