time_bin,mean_throughput,mean_data_rate,most_common_rssi,retry_percentage,mean_rate_gap,useful_airtime,revised_throughput
0,124.4210187871639,128.57828069909965,-53,5.190285238707725,1.1750018915033669,1.2513494819145243,80.44818246913931
2,133.27206430247742,141.7297411479302,-53,6.209352740786621,0.9078145968824197,1.6663463738035946,118.08542011098781
4,133.9914444083193,144.402171702048,-53,14.517940217100689,0.9703759157264318,1.5761952725317923,113.80301019004611
6,131.2684229523463,144.22412481179583,-53,8.955921291729402,1.0034266133637921,1.6197816239449732,116.80579354984657
8,128.53668444295062,141.94226163318862,-53,15.110527909558899,1.0493085696981932,1.7046527477576618,120.98113315797596
10,101.93041413058951,115.64588438941183,-53,23.381135889822477,2.1252132162486577,1.6899544226867445,97.71813689470324
12,104.0336681920589,117.73960443226498,-53,6.719885618968188,1.9381031812224472,1.74134412991453,102.5125845182917
14,112.66144283915489,126.83129030031066,-53,7.162581981360027,1.5012944425267518,1.119901526973882,71.0192778376928
16,128.96096800413136,145.31149754395955,-53,10.187228589734461,0.9434042856125863,1.1748555828186977,85.36001206863318
18,128.70586085553634,144.19151871151112,-53,4.902889625769777,1.0039081004263382,1.4202143386575155,102.39143119344577
20,129.7294334588489,144.29497384011182,-53,3.5944884510417356,1.0,1.2614447168751053,91.01006621112029
22,131.02328542945705,144.81903391758092,-53,1.531977522076532,0.9901659084827402,1.2520178760088272,90.65800962556999
24,130.45718694257775,143.20592037598541,-53,3.2612357657839772,1.0359140219661749,1.2588519834824123,90.13752845586683
26,129.01009368773455,141.35340409087883,-53,8.068492237990538,1.0322473182757013,1.299679477137429,91.85705916021455
28,126.24501598465906,138.5516051301115,-53,15.063197026022305,1.0737546468401487,1.1868603515087506,82.22070338341288
