Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,66.08
INTERVAL,2.0,4.0,74.86
INTERVAL,4.0,6.0,45.47
INTERVAL,6.0,8.0,45.69
INTERVAL,8.0,10.0,34.32
INTERVAL,10.0,12.0,40.29
INTERVAL,12.0,14.0,39.86
INTERVAL,14.0,16.0,75.23
INTERVAL,16.0,18.0,60.01
INTERVAL,18.0,20.0,35.35
INTERVAL,20.0,22.0,83.68
INTERVAL,22.0,24.0,64.63
INTERVAL,24.0,26.0,36.94
INTERVAL,26.0,28.0,48.73
INTERVAL,28.0,30.0,33.98
AGGREGATED,0.0,30.0,52.34
