Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,28.65
INTERVAL,2.0,4.0,51.21
INTERVAL,4.0,6.0,56.51
INTERVAL,6.0,8.0,13.04
INTERVAL,8.0,10.0,46.37
INTERVAL,10.0,12.0,50.70
INTERVAL,12.0,14.0,38.26
INTERVAL,14.0,16.0,39.08
INTERVAL,16.0,18.0,48.81
INTERVAL,18.0,20.0,48.20
INTERVAL,20.0,22.0,29.24
INTERVAL,22.0,24.0,37.75
INTERVAL,24.0,26.0,18.47
INTERVAL,26.0,28.0,21.71
INTERVAL,28.0,30.0,19.07
AGGREGATED,0.0,30.0,36.47
