Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,54.49
INTERVAL,2.0,4.0,90.07
INTERVAL,4.0,6.0,96.74
INTERVAL,6.0,8.0,96.15
INTERVAL,8.0,10.0,84.90
INTERVAL,10.0,12.0,99.69
INTERVAL,12.0,14.0,95.17
INTERVAL,14.0,16.0,90.31
INTERVAL,16.0,18.0,96.01
INTERVAL,18.0,20.0,91.81
INTERVAL,20.0,22.0,93.11
INTERVAL,22.0,24.0,101.09
INTERVAL,24.0,26.0,84.62
INTERVAL,26.0,28.0,96.81
INTERVAL,28.0,30.0,87.16
AGGREGATED,0.0,30.0,90.54
