Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,182.36
INTERVAL,2.0,4.0,322.12
INTERVAL,4.0,6.0,275.38
INTERVAL,6.0,8.0,306.06
INTERVAL,8.0,10.0,277.91
INTERVAL,10.0,12.0,291.61
INTERVAL,12.0,14.0,307.70
INTERVAL,14.0,16.0,313.13
INTERVAL,16.0,18.0,281.95
INTERVAL,18.0,20.0,290.63
INTERVAL,20.0,22.0,300.89
INTERVAL,22.0,24.0,314.90
INTERVAL,24.0,26.0,302.50
INTERVAL,26.0,28.0,321.52
INTERVAL,28.0,30.0,298.98
AGGREGATED,0.0,30.0,292.51
