Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,42.4
INTERVAL,2.0,4.0,89.2
INTERVAL,4.0,6.0,96.9
INTERVAL,6.0,8.0,91.7
INTERVAL,8.0,10.0,91.3
INTERVAL,10.0,12.0,71.8
INTERVAL,12.0,14.0,90.7
INTERVAL,14.0,16.0,101.0
INTERVAL,16.0,18.0,95.9
INTERVAL,18.0,20.0,91.8
INTERVAL,20.0,22.0,94.9
INTERVAL,22.0,24.0,102.0
INTERVAL,24.0,26.0,90.7
INTERVAL,26.0,28.0,93.8
INTERVAL,28.0,30.0,92.3
AGGREGATED,0.0,30.17,88.9
