Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,130.0
INTERVAL,2.0,4.0,143.0
INTERVAL,4.0,6.0,148.0
INTERVAL,6.0,8.0,149.0
INTERVAL,8.0,10.0,149.0
INTERVAL,10.0,12.0,149.0
INTERVAL,12.0,14.0,149.0
INTERVAL,14.0,16.0,149.0
INTERVAL,16.0,18.0,149.0
INTERVAL,18.0,20.0,149.0
INTERVAL,20.0,22.0,149.0
INTERVAL,22.0,24.0,149.0
INTERVAL,24.0,26.0,149.0
INTERVAL,26.0,28.0,149.0
INTERVAL,28.0,30.0,149.0
AGGREGATED,0.0,30.11,147.0
