Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,79.1
INTERVAL,2.0,4.0,54.5
INTERVAL,4.0,6.0,35.7
INTERVAL,6.0,8.0,39.9
INTERVAL,8.0,10.0,30.9
INTERVAL,10.0,12.0,36.7
INTERVAL,12.0,14.0,69.2
INTERVAL,14.0,16.0,76.0
INTERVAL,16.0,18.0,73.9
INTERVAL,18.0,20.0,92.3
INTERVAL,20.0,22.0,72.3
INTERVAL,22.0,24.0,56.1
INTERVAL,24.0,26.0,44.6
INTERVAL,26.0,28.0,28.8
INTERVAL,28.0,30.0,78.1
AGGREGATED,0.0,30.03,57.9
