Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,115.0
INTERVAL,2.0,4.0,123.0
INTERVAL,4.0,6.0,137.0
INTERVAL,6.0,8.0,132.0
INTERVAL,8.0,10.0,105.0
INTERVAL,10.0,12.0,106.0
INTERVAL,12.0,14.0,118.0
INTERVAL,14.0,16.0,66.6
INTERVAL,16.0,18.0,104.0
INTERVAL,18.0,20.0,110.0
INTERVAL,20.0,22.0,109.0
INTERVAL,22.0,24.0,126.0
INTERVAL,24.0,26.0,121.0
INTERVAL,26.0,28.0,118.0
INTERVAL,28.0,30.0,133.0
AGGREGATED,0.0,30.12,115.0
