Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,102.0
INTERVAL,2.0,4.0,94.9
INTERVAL,4.0,6.0,96.9
INTERVAL,6.0,8.0,91.8
INTERVAL,8.0,10.0,78.1
INTERVAL,10.0,12.0,85.5
INTERVAL,12.0,14.0,87.6
INTERVAL,14.0,16.0,105.0
INTERVAL,16.0,18.0,110.0
INTERVAL,18.0,20.0,119.0
INTERVAL,20.0,22.0,104.0
INTERVAL,22.0,24.0,103.0
INTERVAL,24.0,26.0,97.0
INTERVAL,26.0,28.0,88.6
INTERVAL,28.0,30.0,78.7
AGGREGATED,0.0,30.19,96.1
