Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,48.2
INTERVAL,2.0,4.0,52.4
INTERVAL,4.0,6.0,58.2
INTERVAL,6.0,8.0,61.9
INTERVAL,8.0,10.0,68.2
INTERVAL,10.0,12.0,67.7
INTERVAL,12.0,14.0,43.5
INTERVAL,14.0,16.0,43.0
INTERVAL,16.0,18.0,48.3
INTERVAL,18.0,20.0,43.5
INTERVAL,20.0,22.0,39.9
INTERVAL,22.0,24.0,51.3
INTERVAL,24.0,26.0,45.1
INTERVAL,26.0,28.0,62.9
INTERVAL,28.0,30.0,59.3
AGGREGATED,0.0,30.07,53.0
