start_time,end_time,transfer_mbytes,bitrate_mbps
0.0,2.0,12.2,51.3
2.0,4.0,21.2,89.2
4.0,6.0,16.0,67.1
6.0,8.0,11.1,46.7
8.0,10.0,13.1,55.0
10.0,12.0,2.0,8.39
12.0,14.0,2.38,9.97
14.0,16.0,19.6,82.3
16.0,18.0,22.2,93.3
18.0,20.0,24.1,101.0
20.0,22.0,21.6,90.7
22.0,24.0,16.1,67.6
24.0,26.0,1.0,4.2
26.0,28.0,11.4,47.7
28.0,30.0,7.12,29.9
