start_time,end_time,transfer_mbytes,bitrate_mbps
0.0,2.0,58.1,244.0
2.0,4.0,89.0,373.0
4.0,6.0,82.0,344.0
6.0,8.0,93.6,393.0
8.0,10.0,93.5,392.0
10.0,12.0,92.6,388.0
12.0,14.0,91.1,382.0
14.0,16.0,85.1,357.0
16.0,18.0,97.4,408.0
18.0,20.0,96.5,405.0
20.0,22.0,91.2,383.0
22.0,24.0,79.6,334.0
24.0,26.0,87.2,366.0
26.0,28.0,91.2,383.0
28.0,30.0,86.2,362.0
