Type,IntervalStart_s,IntervalEnd_s,Throughput_Mbps
INTERVAL,0.0,2.0,36148.74
INTERVAL,2.0,4.0,42849.79
INTERVAL,4.0,6.0,44347.39
INTERVAL,6.0,8.0,45589.25
INTERVAL,8.0,10.0,45675.26
INTERVAL,10.0,12.0,44681.73
INTERVAL,12.0,14.0,44600.32
INTERVAL,14.0,16.0,44563.21
INTERVAL,16.0,18.0,43490.55
INTERVAL,18.0,20.0,45037.57
INTERVAL,20.0,22.0,47001.60
INTERVAL,22.0,24.0,46265.86
INTERVAL,24.0,26.0,45568.51
INTERVAL,26.0,28.0,46659.07
INTERVAL,28.0,30.0,46811.40
AGGREGATED,0.0,30.0,44619.35
